Product Name,Category,Description,Provider,Delivery Mode,Sales Region,Price
 翼达通融合智能解决方案 , 甄选 ,"翼达通融合智能解决方案整合现有报警与监控资源为基础，以视频监控与物联专网为依托，基于防卫空间理论，开展具有针对性、因地制宜的场景式布建，密织“空中、地面、动态、静态、物联”五张防控网络，实现多角度、多层次、多维度的信息采集，对人、地、事物、组织开展全方位、全天候的整体防控；依托前沿智能视频分析技术，将视频流转换为数据流，最大化有价值视频信息提取，结合云计算、大数据技术运用，实现各系统内部、系统之间价值数据的比对碰撞、深入挖掘，并以智能应用为展现方式，服务于各项业务，使海量的信息数据真正成为实现预防预警、精确防控的源头活水。
",天翼云甄选商城,线下交付类,全国,285
 网管专家服务 ," 甄选 ,  企业办公 ,  企业管理 ,  企业通信 ,  企业备份 ,  企业上云咨询 ,  企业上云 ",网管专家服务是利用中国电信统一建立的基于 SNMP 技术及专用探针技术的平台，对包括客户端网络设备在内的客户广域网络或互联网接入提供包括网络层、传输层及应用层在内的端到端监控和管理的业务。,天翼云甄选商城,SAAS类,全国,200
 翼云备数据保护解决方案 ," 甄选 ,  数字化基础 ,  数据管理 ,  数字化基础 ,  数据管理 ","为用户提供完整的数据备份解决方案的同时也能协助用户进行资源管理。针对中小企业用户搭建专属的数据备份安全环境，简单易操作，安全可靠的便捷管理，贴心7*24服务，实现本地备云端，本地备本地，云端备云端等多元化备份需求场景。
",天翼云甄选商城,线下交付类,全国,1500
 天翼云企业云盘（标准服务版） ," 甄选 ,  企业上云 ,  企业网盘 ,  移动办公 ,  私有化部署 ,  文档协同管理 ,  数字化管理 ,  协同办公 ,  数字化管理 ,  协同办公 ",天翼云企业云盘是中国电信推出的企业级云存储服务，旨为企业或团队提供安全的文件存储、共享等服务；多终端覆盖，助力企业随时预览，快速查找分享，提高办公效率。,天翼云甄选商城,SAAS类,全国,19
 天翼云企业云盘（定制化服务） ," 甄选 ,  企业上云 ,  企业网盘 ,  移动办公 ,  私有化部署 ,  文档协同管理 ,  数字化管理 ,  协同办公 ",天翼云企业云盘是中国电信推出的企业级云存储服务，旨为企业或团队提供安全的文件存储、共享等服务；多终端覆盖，助力企业随时预览，快速查找分享，提高办公效率。,天翼云甄选商城,线下交付类,全国,3000
 税务风控云(高级版) ," 甄选 ,  企业上云 ,  企业管理 ,  账务管理 ,  税务管理 ",税务风控云通过对申报数据提前自检，帮助企业规避涉税风险，为企业经营保驾护航。,天翼云甄选商城,线下交付类,全国,5000
 税务风控云（基础月包云南专版） ," 甄选 ,  企业上云 ,  企业管理 ,  账务管理 ,  税务管理 ",税务风控云通过对申报数据提前自检，帮助企业规避涉税风险，为企业经营保驾护航。,天翼云甄选商城,SAAS类,云南省,299
 翼大视频平台解决方案（中电万维版） , 甄选 ,"万维大视频平台由万维公司独立研发，自主可控、安全可信。平台采用业界领先的分布式技术架构，充分利用“云计算、大数据、MEC”等技术集群，以“1+1+N”为顶层设计，即1个“视频能力底座”，1个“视频能力中枢”，N个“视频Saas应用”。平台目前已取得公安行业标准认证能力GA/T 1400-2017以及国家级视频标准认证能力2项(GB/T 28181-2016,GB 35114)，符合公安行业相关要求。以强大的视频多协议汇聚能力、超高的流媒体并发能力、海量数据存储能力及电信云网融合能力，纵向可统筹纳管省、市（州）、县、三级视频资源，横向可打通同级平台视频资源，整合海量多源异构视频资源，最大化发挥视频价值。",天翼云甄选商城,线下交付类,全国,1000
 数字工厂解决方案 ," 省级甄选 ,  MES ,  新核云数字工厂 ,  新核云质量管理系统 ,  新核云数字化车间 ,  人工实施服务 ,  新核云设备管理 ,  数字化经营 ,  生产管控 ",数字工厂解决方案专注于工业互联网和AI技术在工业场景中的落地应用，提供面向离散制造业的工厂数字化全栈式解决方案，深耕新能源汽车及零配件、装备制造、智能硬件行业，通过云MES对计划排程、生产过程进行数字化管控；通过云ERP对订单、采购、库存进行数字化管理，加上TQM的质量管理能力和TPM所覆盖的设备物联能力，实现了工厂全流程核心业务的数据上云!,天翼云甄选商城,SAAS类,天津市,2500
 数字工厂解决方案 ," 省级甄选 ,  MES ,  新核云设备管理 ,  新核云数字工厂 ,  新核云质量管理系统 ,  新核云数字化车间 ,  人工实施服务 ,  数字化经营 ,  生产管控 ",数字工厂解决方案专注于工业互联网和AI技术在工业场景中的落地应用，提供面向离散制造业的工厂数字化全栈式解决方案，深耕新能源汽车及零配件、装备制造、智能硬件行业，通过云MES对计划排程、生产过程进行数字化管控；通过云ERP对订单、采购、库存进行数字化管理，加上TQM的质量管理能力和TPM所覆盖的设备物联能力，实现了工厂全流程核心业务的数据上云!,天翼云甄选商城,线下交付类,天津市,3500
 翼飞天舆情解决方案 , 甄选 ,依托互联网大数据采集、各大搜索引擎，运用人工认知智能、深度学习技术，实现用户对自己相关网络舆情的监督管理，最终形成各类分析报告，为用户决策层全面掌握舆情动态，做出正确舆论引导，提供分析依据。,天翼云甄选商城,线下交付类,全国,1000
 翼咨询运维服务（青海版） , 甄选 ,按照《GB/T 22239-2019 信息安全技术网络安全基本要求》2.0开展服务工作,天翼云甄选商城,线下交付类,全国,1000
 翼数据备份解决方案（甘肃版） , 甄选 ,翼数据备份解决方案（甘肃版）实现用户本地数据在云端的备份，保护企业的操作系统、数据库、应用、文件、虚拟机、对象存储等数据，在遭遇数据灾难时，能完整、准确、快速地还原数据。,天翼云甄选商城,线下交付类,全国,100
 翼智慧实训 ," 甄选 ,  翼智慧实训 ,  教育云教室 ",翼智慧实训提供系统镜像管理、数据镜像管理、课程表管理、软件安全策略、登录保护策略、实现软件下发，自动安装、实现资产进行统计管理、实现对服务进行远程协助、实现消息发布、实现对翼智慧实训进行定时策略控制等功能。,天翼云甄选商城,线下交付类,全国,130
 翼宏象智能IT保障解决方案 ," 甄选 ,  监控告警 ,  灾备迁移 ,  云存储网关 ,  数字化基础 ,  业务上云 ",宏象智能IT保障方案基于IT资产自动发现，智能监控告警，数据保护、迁移，业务应急灾备等能力为企业提供混合云、多云环境下的IT综合管理能力,天翼云甄选商城,线下交付类,全国,600
 翼互通-森林生态监测系统解决方案 , 甄选 ,翼互通-森林生态监测系统是结合前端采集、控制、显示等服务形成的森林生态监测系统，面向党政客户以及关键行业客户提供自主可控的云平台及现场环境监测系统。,天翼云甄选商城,线下交付类,全国,3000
 翼通行考勤解决方案 ," 甄选 ,  访客 ,  通行 ,  考勤 ,  园区 ,  楼宇 ,  医疗 ,  校园 ,  交通 ",翼通行考勤是一个面向出入口场景的管理平台。配备人员管理、设备管理、场景管理、权限管理等功能，可以提供门禁通行、考勤签到、访客登记等多场景一站式服务。,天翼云甄选商城,线下交付类,全国,150
 翼视频云归档 , 甄选 ,翼视频云归档是通过先进的AI算法建模，将用户海量视频数据实时/离线压缩归档到公有云对象存储、NAS存储或块存储，解决用户本地视频存储数据量过大且不方便统一运维管理的痛点。,天翼云甄选商城,线下交付类,全国,64
 安全邮箱 ," 甄选 ,  数据安全 ,  数据传输 ,  企业邮箱 ,  办公协同 ,  私有化部署 ,  存储与备份 ,  监控工具 ,  权限管控 ,  数字化管理 ,  协同办公 ",安全邮箱是中国电信旗下的企业邮箱品牌，面向企业用户提供专业、安全的、带有企业域名后缀的企业邮箱服务，专注于为企业提供互联网邮箱应用解决方案，拥有国有企业背景，符合相关审计要求，满足低成本建立企业信息化应用的需求。,天翼云甄选商城,SAAS类,全国,6
 云建站 ," 省级甄选 ,  企业办公 ,  企业建站 ,  网站建设 ,  企业营销 ,  数字化基础 ,  网络安全 ",云建站管理系统是“PC+手机+微站+小程序+APP”一体化全网营销企业智能建站系统，完全“Diy”拖拽自定义排版设计框架，无需代码、轻松上手打造精品网站应用。,天翼云甄选商城,SAAS类,湖北省,1200
 翼物联数据服务平台解决方案 ," 甄选 ,  数字化基础 ,  数据管理 ",翼物联数据服务平台面向园区工厂/商场楼宇/社区村居/校园医院等客户群，通过物联网技术提供数据采集、分布式存储及智算数据分析服务，并支持大屏数据展示。,天翼云甄选商城,线下交付类,全国,160
 WPS 365 ," 甄选 ,  数字化管理 ,  协同办公 ",WPS云文档是金山办公面向企业推出的专业版本，基于WPS Office 客户端 ，金山文档等多种云端一体化的办公工具，构建了企业云文档中心，实现企业全员的云端办公和协作。,天翼云甄选商城,SAAS类,全国,15
 翼智能应用监测平台解决方案 , 甄选 ,通过私有化镜像部署于客户vpc内，对客户提供基于人工智能技术的全栈式统一运维监控解决方案，包含应用性能监控、基础设施监控、运维态势监控、APP监控等九大功能模块。,天翼云甄选商城,线下交付类,全国,4000
 好生意 , 甄选 ,好生意，是一款营销型进销存软件，以帮助企业老板管店、拓客为核心，实现智能获客找生意、智能决策做生意、智能高效管生意。,天翼云甄选商城,SAAS类,全国,1880
 翼互通-智慧灾害监测预警系统解决方案 , 甄选 ,翼互通-智慧灾害监测预警系统是结合前端采集、控制、显示等服务形成的智慧灾害监测预警系统，面向党政客户以及关键行业客户提供自主可控的云平台及现场监测系统。,天翼云甄选商城,线下交付类,全国,3000
 翼创盟-高标准农田监测系统解决方案 , 甄选 ,翼创盟-高标准农田监测系统结合前端采集、控制、显示等服务形成的高标准农田智能物联网农情监测系统，面向党政客户以及关键行业客户提供自主可控的云平台及现场监测系统。,天翼云甄选商城,线下交付类,全国,3000
 云网助手（镜像版） ," 甄选 ,  数字化经营 ,  营销管理 ,  数字化经营 ,  营销管理 ",云网助手是帮助中小企业营销获客的一站式应用云平台，贴合服务型企业日常运营及宣传推广需求，帮助中小企业以移动互联网模式闭环从商机获取至服务收款的整体经营流程。,天翼云甄选商城,镜像类,全国,28
 云网助手(行业版） ," 甄选 ,  数字化经营 ,  营销管理 ",云网助手基于企业CRM云服务经验，通过通讯、5G消息等能力，为商户提供独享存储空间、获客能力、营销/服务自动化等，并提供商机助理、会员管理等功能；云网助手致力于成为小微企业的全能云管家。,天翼云甄选商城,SAAS类,全国,58
 网络系统集成服务 , 省级甄选 ,网络系统集成专项定制化服务，从设计、规划、实施将各个分离的设备、功能和信息等集成到相互关联的、统一和协调的系统之中，使资源达到充分共享，实现集中、高效、便利的管理。,天翼云甄选商城,线下交付类,云南省,2000
 云建设迁移维护服务 ," 省级甄选 ,  数字化基础 ,  业务上云 ","从云项目的需求调研、规划设计、方案输出再到实施交付、运行维护的全流程服务；安排专业的项目管理人员对项目的范围、进度、成本、质量等过程进行严格管理,现场配备专业的技术人员进行指导实施。
",天翼云甄选商城,线下交付类,云南省,2000
 翼酒店新媒体 ," 甄选 ,  翼酒店新媒体 ",以酒店新媒体统一的载体融合酒店的多种IT需求，实现一机多用，降低酒店投入，维护，资费等成本，引领酒店行业新潮流，维持和拓展酒店客户资源。,天翼云甄选商城,线下交付类,全国,18
 税务风控云 ," 甄选 ,  企业上云 ,  企业管理 ,  账务管理 ,  税务管理 ,  数字化管理 ,  财务管理 ",税务风控云通过对申报数据提前自检，帮助企业规避涉税风险，为企业经营保驾护航。,天翼云甄选商城,SAAS类,全国,299
 翼智慧运维服务管理平台 ," 省级甄选 ,  运维 ,  智慧运维 ,  维保 ,  IT运维 ,  驻点服务 ,  设备维护 ,  数字化基础 ,  业务上云 ",智慧运维服务管理平台是基于运维服务提供方式：包括现场驻点服务、远程服务、专家指导三种方式。主要服务内容包含基础运维（维保管理、巡检管理、会议保障、历史订单、知识库、月度报告)、优化服务(差异化分析、性能调优报告、云成本优化、改进建议)、持续改进服务（性能持续性评估、基础架构持续优化、持续性改进) ,天翼云甄选商城,线下交付类,云南省,2000
 SSL证书 ," 甄选 ,  SSL ,  数字证书 ,  数字化基础 ,  网络安全 ",SSL 证书，又称服务器证书、 HTTPS 加密协议，针对 App 及网页等应用系统的通讯防止数据在传送过程中被窃取、篡改，确保数据的完整性；防止运营商的流量劫持、网页植入广告现象；同时有效抵挡中间人的攻击；有利于提升网站的搜索排名及站点可信度。,天翼云甄选商城,SAAS类,全国,1078
 翼云数字人解决方案 ," 甄选 ,  数字人 ,  解决方案 ,  克隆 ,  数字化经营 ,  营销管理 ",翼云数字人解决方案是一款创新数字人物创作平台，提供数字人短视频创作和数字人直播功能。用户可根据需求定制形象、声音，创作吸引人的短视频，或通过数字人进行互动直播。支持问答互动和接入大模型，适用于社交媒体创作、企业品牌推广、在线教育等多个领域，助力用户创造多媒体内容的全新体验。,天翼云甄选商城,线下交付类,全国,5000
 CMP翼云管理平台 ," 省级甄选 ,  多云管理平台 ,  多云管理服务 ",CMP翼云管理平台是用于为客户提供云管理、云运营、云监控、云运维自服务等功能，助力企业上云和数字化转型，满足企业在混合云场景下对成本、隐私、合规和效率等方面的要求。,天翼云甄选商城,线下交付类,云南省,113
 仓库管理系统解决方案 ," 甄选 ,  仓储管理 ,  仓库管理 ,  数字化经营 ,  生产管控 ",仓库管理系统解决方案是针对仓库操作运营的智能化服务管理软件，支持多仓库、多货主，多业务模式，可配置的灵活策略；支持仓储精细化管理，以订单数字驱动仓库货品的管理，提高企业在供应链仓储方面的效率；支持仓储数字可视化，以提高企业供应链的决策水平。,天翼云甄选商城,线下交付类,全国,3500
 新华融翼 ," 甄选 ,  融媒生产 ,  H5 ,  图文 ",新华融翼系统是专业的融媒内容制作与管理平台。平台针对政府、企业、媒体、学校等客户提供融媒体一站式解决方案。解决客户内容生产发布效率低、内容生产质量低、内容传播缺乏数据支持、技术力量薄弱、协同困难等问题。系统以轻量化、智能化内容生产和数据化、流程化内容管理为切入口，为客户提供开箱即用，高效易用的融媒内容制作与管理平台。,天翼云甄选商城,SAAS类,全国,3915
 新华融翼作品流量 ," 甄选 ,  融媒生产 ,  H5 ,  图文 ","新华融翼系统是专业的融媒内容制作与管理平台。平台针对政府、企业、媒体、学校等客户提供融媒体一站式解决方案。解决客户内容生产发布效率低、内容生产质量低、内容传播缺乏数据支持、技术力量薄弱、协同困难等问题。系统以轻量化、智能化内容生产和数据化、流程化内容管理为切入口，为客户提供开箱即用，高效易用的融媒内容制作与管理平台。
本商品为系统增值服务，需购买新华融翼系统服务后购买此增值服务。",天翼云甄选商城,SAAS类,全国,136
 园区管理系统解决方案 ," 甄选 ,  排队取号 ,  车辆预约 ,  园区 ,  排队系统 ,  车辆管理 ",园区管理系统解决方案是提供园区智能管理的解决方案，数字化园区仓库和月台资源，以订单/运单驱动来合理利用园区资源，提供园区车辆预约排队管理，规范化园区进出管理，让车辆在园区内有序行驶，保证园区运营更高效。,天翼云甄选商城,线下交付类,全国,3500
 翼数聚蜂巢解决方案 ," 甄选 ,  数字化基础 ,  数据管理 ",翼数聚蜂巢旨在帮助组织方便快速地实现数据、应用、服务间的灵活流转与敏捷集成。中台基于 API 化解耦、微服务化、能力化的三层架构设计理念，帮助企业方便快速地实现数据、应用、服务间的灵活流转与敏捷集成，赋能企业技术创新与数字化转型，提升用户体验，助力业务创新。,天翼云甄选商城,线下交付类,全国,2500
 云智眸 ," 甄选 ,  数字化管理 ,  协同办公 ",云智眸可基于互联网/专网独立或混合部署的视频会议服务，致力于为各行业广大用户提供高清、易用、稳定的视频协作服务。产品具有动态扩容、灵活接入、价格低廉、使用便捷等特点。可以使用专用产品、软件客户端满足跨域视频沟通的需求。,天翼云甄选商城,SAAS类,全国,15
 翼劳动教育SaaS云平台 ," 甄选 ,  劳动教育 ,  中小学劳动教育 ,  劳动教育课程 ,  劳动教育SaaS化服 ",翼劳动教育SAAS云平台面向教育局与学校，提供劳动教育课程的课件设计工具、教学工具、评估评价工具、档案资料管理工具，以及过程监管、数据分析等工具的一站式劳动教育服务平台，同时提供配套的实践物料工具包。,天翼云甄选商城,线下交付类,全国,1
 翼恢复（山东版）解决方案 ," 甄选 ,  数据安全 ,  存储与备份 ,  容灾备份 ,  数字化基础 ,  数据管理 ",翼恢复（山东版）解决方案是基于多年灾备领域经验，为政务云、专有云、数据中心等应用场景提供一体化云灾备服务，满足您对业务数据安全保护、业务连续性保障、灾难应急、演练与快速恢复，以及灾备集中化管理与运营等需求。,天翼云甄选商城,线下交付类,山东省,205
 翼云快销（企业起订版） , 甄选 ,翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表。,天翼云甄选商城,SAAS类,全国,100
 翼德金制造企业管理平台 ," 甄选 ,  数字化经营 ,  生产管控 ",翼德金制造企业管理平台主要包括基础版、标准版和专业版，提供边缘网关服务和人工服务，实现设备数据互联互通，，为企业提供山上云建设、咨询、材料撰写等服务，实现基础、设计、生产、物流、销售、服务等核心数据和业务上云。助力企业实现企业上云。,天翼云甄选商城,线下交付类,全国,1000
 翼云快销（小微起订版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",翼云快销是一站式的云营销平台，帮助企业构建必备的智能营销工具。通过快速创建智能云名片、一键生成H5活动等多种营销工具，助力企业简单、高效的上线营销活动，让每个营销人员高水准、标准化的推广产品和服务。,天翼云甄选商城,SAAS类,全国,20
 翼云快销（小微基础版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",云快销是一站式的云营销平台，帮助企业构建必备的智能营销工具。通过快速创建智能云名片、一键生成H5活动等多种营销工具，助力企业简单、高效的上线营销活动，让每个营销人员高水准、标准化的推广产品和服务。,天翼云甄选商城,SAAS类,全国,15
 翼世纪云MES生产执行系统 ," 甄选 ,  MES系统 ,  智能制造 ,  工业互联网 ","翼世纪云MES生产执行系统主要实现制造型企业生产车间透明化和规范化，实现生产管理执行过程管理（人、机、料、法、环）、设备管理、设备数据互联互通、能耗和环境、仓储管理、产品质量管理和质量追溯等功能。
同时世纪云系统支持省、市级智能车间申报和两化融合申报。",天翼云甄选商城,线下交付类,全国,1000
 翼企业服务 ," 甄选 ,  办公协同 ,  流程审批 ,  企业OA ,  数据可视化 ,  数据管理 ,  移动办公 ,  私有化部署 ,  数字化管理 ,  协同办公 ",翼企业服务专注于企业经营管理的产品，包括流程审批、数据统计分析、移动办公等，帮助广大用户降低管理成本，提升生产和决策效率。,天翼云甄选商城,SAAS类,全国,85
 翼云快销（企业标准版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表，此外还支持分层管理，移动端管理活动。,天翼云甄选商城,SAAS类,全国,2160
 翼云快销（企业高级版） ," 甄选 ,  移动营销 ,  数字化经营 ,  营销管理 ",翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表，此外还支持分层管理，移动端管理活动。,天翼云甄选商城,SAAS类,全国,2880
 翼云快销（商客基础版） , 甄选 ,"翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易,平台还提供多类型多玩法模板。",天翼云甄选商城,SAAS类,全国,50
 翼云快销（企业视频版） , 甄选 ,翼云快销平台是一个帮你快速生成活动的平台。这些活动能帮你吸粉、促销、互动、引流，最终实现吸引客流、活跃粉丝、转化客户、促成交易。平台还提供多类型多玩法模板、多维度数据报表。,天翼云甄选商城,SAAS类,全国,1999
 云备份-基础版 ," 甄选 ,  定时备份 ,  跨域备份 ,  云备份 ,  数据定时备份，实时备 ,  本地到云备份 ,  数据迁移 ",【限时活动】现在下单可额外赠送300G云端备份空间及授权，合计获得800G云端备份空间及授权。云备份-基础版是企业级云备份服务，为企业提供安全数据库备份、应用系统/文档/虚拟环境备份等服务；助力企业快速轻松完成云到云、云到异地的备份建设，降低运维成本和工作强度。,天翼云甄选商城,SAAS类,全国,300
 云备份-高级版 ," 甄选 ,  数据安全 ,  存储与备份 ,  容灾备份 ",云备份-高级版是一款面向中小企业和个人用户提供数据保护和数据同步服务功能的数据服务平台。避免用户在遭受勒索病毒、逻辑故障、机器故障时可能面临数据丢失风险，同时提供多机器（桌面、云桌面或服务器）之间快捷的数据同步。,天翼云甄选商城,SAAS类,全国,1250
